# Simple Labels + No LDCA PRM Training Progress
# Model: AdaptivePRM
# Loss: 50% ListNet + 50% MSE
# Weighting: Uniform (no LDCA)
# Metrics: ranking_accuracy, spearman, loss
# Format: {metrics_dict}

{'train/listnet_loss': 0.3142012059688568, 'train/mse_loss': 0.006412858609110117, 'train/n_groups': 3, 'train/total_loss': 0.16030703485012054, 'epoch': 0.09628201597356101}
{'train/listnet_loss': 0.28682833909988403, 'train/mse_loss': 0.009237626567482948, 'train/n_groups': 2, 'train/total_loss': 0.14803297817707062, 'epoch': 0.09903607821536767}
{'train/listnet_loss': 0.30795925855636597, 'train/mse_loss': 0.007877626456320286, 'train/n_groups': 3, 'train/total_loss': 0.15791843831539154, 'epoch': 0.10179014045717433}
{'train/listnet_loss': 0.3426720201969147, 'train/mse_loss': 0.0027513939421623945, 'train/n_groups': 4, 'train/total_loss': 0.17271170020103455, 'epoch': 0.104544202698981}
{'train/listnet_loss': 0.3179663121700287, 'train/mse_loss': 0.004502075724303722, 'train/n_groups': 3, 'train/total_loss': 0.16123420000076294, 'epoch': 0.10729826494078766}
{'train/listnet_loss': 0.2700875699520111, 'train/mse_loss': 0.007065949030220509, 'train/n_groups': 2, 'train/total_loss': 0.13857676088809967, 'epoch': 0.11005232718259432}
{'eval_loss': 0.004757291516830969, 'eval_ranking_accuracy': 0.7777464510763071, 'eval_spearman': 0.6697308622866708, 'epoch': 0.11016248967226659}
{'train/listnet_loss': 0.2770307958126068, 'train/mse_loss': 0.013235336169600487, 'train/n_groups': 2, 'train/total_loss': 0.14513306319713593, 'epoch': 0.112806389424401}
{'train/listnet_loss': 0.26043349504470825, 'train/mse_loss': 0.00973145104944706, 'train/n_groups': 2, 'train/total_loss': 0.13508246839046478, 'epoch': 0.11556045166620765}
{'train/listnet_loss': 0.3000284433364868, 'train/mse_loss': 0.0063230125233531, 'train/n_groups': 3, 'train/total_loss': 0.1531757265329361, 'epoch': 0.11831451390801433}
{'train/listnet_loss': 0.2816958725452423, 'train/mse_loss': 0.0023621884174644947, 'train/n_groups': 2, 'train/total_loss': 0.1420290321111679, 'epoch': 0.12106857614982099}
{'train/listnet_loss': 0.2696365714073181, 'train/mse_loss': 0.005598372779786587, 'train/n_groups': 2, 'train/total_loss': 0.13761746883392334, 'epoch': 0.12382263839162765}
{'train/listnet_loss': 0.32419031858444214, 'train/mse_loss': 0.0058128624223172665, 'train/n_groups': 3, 'train/total_loss': 0.16500158607959747, 'epoch': 0.12657670063343432}
{'train/listnet_loss': 0.3394908905029297, 'train/mse_loss': 0.0035208621993660927, 'train/n_groups': 4, 'train/total_loss': 0.1715058833360672, 'epoch': 0.12933076287524098}
{'train/listnet_loss': 0.2640359699726105, 'train/mse_loss': 0.007607105188071728, 'train/n_groups': 2, 'train/total_loss': 0.13582153618335724, 'epoch': 0.13208482511704764}
{'train/listnet_loss': 0.2766135632991791, 'train/mse_loss': 0.004274724051356316, 'train/n_groups': 2, 'train/total_loss': 0.14044414460659027, 'epoch': 0.1348388873588543}
{'train/listnet_loss': 0.2602540850639343, 'train/mse_loss': 0.0290093794465065, 'train/n_groups': 2, 'train/total_loss': 0.14463172852993011, 'epoch': 0.13759294960066099}
{'train/listnet_loss': 0.30273693799972534, 'train/mse_loss': 0.009060467593371868, 'train/n_groups': 3, 'train/total_loss': 0.15589870512485504, 'epoch': 0.14034701184246764}
{'train/listnet_loss': 0.3206707239151001, 'train/mse_loss': 0.007594880182296038, 'train/n_groups': 3, 'train/total_loss': 0.16413280367851257, 'epoch': 0.1431010740842743}
{'train/listnet_loss': 0.3255108594894409, 'train/mse_loss': 0.004320395179092884, 'train/n_groups': 3, 'train/total_loss': 0.16491562128067017, 'epoch': 0.14585513632608096}
{'train/listnet_loss': 0.2767040431499481, 'train/mse_loss': 0.0055435034446418285, 'train/n_groups': 2, 'train/total_loss': 0.14112377166748047, 'epoch': 0.14860919856788762}
