# Simple Labels + Strong LDCA PRM Training Progress
# Model: AdaptivePRM
# Loss: 50% ListNet + 50% MSE
# LDCA: Strong weighting (alpha_victim=2.0, alpha_lucky=1.5)
# Metrics: ranking_accuracy, spearman, loss, weight_stats, gradient_norm
# Format: {metrics_dict}

{'train/listnet_loss': 0.3606906235218048, 'train/mse_loss': 0.022011585533618927, 'train/n_groups': 2, 'train/total_loss': 0.19135110080242157, 'train/weight_mean': 1.2693493366241455, 'train/weight_std': 0.3551803231239319, 'train/weight_min': 0.6631301045417786, 'train/weight_max': 2.0696346759796143, 'train/victim_pct': 56.25, 'train/lucky_pct': 12.5, 'train/agreement_pct': 31.25, 'epoch': 0.041200771137427705}
{'train/listnet_loss': 0.3154087960720062, 'train/mse_loss': 0.006361060775816441, 'train/n_groups': 2, 'train/total_loss': 0.16088493168354034, 'train/weight_mean': 1.1350754499435425, 'train/weight_std': 0.32786211371421814, 'train/weight_min': 0.4245496094226837, 'train/weight_max': 1.8683854341506958, 'train/victim_pct': 31.25, 'train/lucky_pct': 6.25, 'train/agreement_pct': 62.5, 'epoch': 0.04395483337923437}
{'train/listnet_loss': 0.32595038414001465, 'train/mse_loss': 0.010077175684273243, 'train/n_groups': 2, 'train/total_loss': 0.1680137813091278, 'train/weight_mean': 1.2999341487884521, 'train/weight_std': 0.21740984916687012, 'train/weight_min': 1.0, 'train/weight_max': 1.7379816770553589, 'train/victim_pct': 68.75, 'train/lucky_pct': 0.0, 'train/agreement_pct': 31.25, 'epoch': 0.04670889562104104}
{'train/listnet_loss': 0.35504043102264404, 'train/mse_loss': 0.00691517349332571, 'train/n_groups': 2, 'train/total_loss': 0.18097780644893646, 'train/weight_mean': 1.0351221561431885, 'train/weight_std': 0.3781970143318176, 'train/weight_min': 0.35499998927116394, 'train/weight_max': 1.9519531726837158, 'train/victim_pct': 25.0, 'train/lucky_pct': 18.75, 'train/agreement_pct': 56.25, 'epoch': 0.0494629578628477}
{'train/listnet_loss': 0.36948102712631226, 'train/mse_loss': 0.007652052212506533, 'train/n_groups': 3, 'train/total_loss': 0.18856653571128845, 'train/weight_mean': 1.2034308910369873, 'train/weight_std': 0.20561757683753967, 'train/weight_min': 1.0, 'train/weight_max': 1.473865270614624, 'train/victim_pct': 50.0, 'train/lucky_pct': 0.0, 'train/agreement_pct': 50.0, 'epoch': 0.052217020104654364}
{'train/listnet_loss': 0.3070509433746338, 'train/mse_loss': 0.01467632595449686, 'train/n_groups': 2, 'train/total_loss': 0.16086363792419434, 'train/weight_mean': 1.0571351051330566, 'train/weight_std': 0.3941914737224579, 'train/weight_min': 0.4000000059604645, 'train/weight_max': 1.7434006929397583, 'train/victim_pct': 43.75, 'train/lucky_pct': 31.25, 'train/agreement_pct': 25.0, 'epoch': 0.05497108234646103}
{'train/listnet_loss': 0.33593523502349854, 'train/mse_loss': 0.0035111387260258198, 'train/n_groups': 3, 'train/total_loss': 0.16972318291664124, 'train/weight_mean': 1.0677083730697632, 'train/weight_std': 0.40405523777008057, 'train/weight_min': 0.41499999165534973, 'train/weight_max': 1.7999999523162842, 'train/victim_pct': 37.5, 'train/lucky_pct': 31.25, 'train/agreement_pct': 31.25, 'epoch': 0.0577251445882677}
{'train/listnet_loss': 0.3009384572505951, 'train/mse_loss': 0.005285867024213076, 'train/n_groups': 2, 'train/total_loss': 0.15311215817928314, 'train/weight_mean': 1.1383706331253052, 'train/weight_std': 0.2712402045726776, 'train/weight_min': 0.699999988079071, 'train/weight_max': 1.8219964504241943, 'train/victim_pct': 31.25, 'train/lucky_pct': 6.25, 'train/agreement_pct': 62.5, 'epoch': 0.06047920683007436}
{'train/listnet_loss': 0.3741636872291565, 'train/mse_loss': 0.015596198849380016, 'train/n_groups': 2, 'train/total_loss': 0.194879949092865, 'train/weight_mean': 1.5066548585891724, 'train/weight_std': 0.2851150631904602, 'train/weight_min': 1.0, 'train/weight_max': 1.8696105480194092, 'train/victim_pct': 81.25, 'train/lucky_pct': 0.0, 'train/agreement_pct': 18.75, 'epoch': 0.06323326907188102}
{'train/listnet_loss': 0.38651901483535767, 'train/mse_loss': 0.012876000255346298, 'train/n_groups': 3, 'train/total_loss': 0.19969750940799713, 'train/weight_mean': 1.1704022884368896, 'train/weight_std': 0.463864803314209, 'train/weight_min': 0.699999988079071, 'train/weight_max': 2.6429481506347656, 'train/victim_pct': 18.75, 'train/lucky_pct': 6.25, 'train/agreement_pct': 75.0, 'epoch': 0.06598733131368768}
{'train/listnet_loss': 0.3025754690170288, 'train/mse_loss': 0.004182394593954086, 'train/n_groups': 2, 'train/total_loss': 0.1533789336681366, 'train/weight_mean': 1.0834184885025024, 'train/weight_std': 0.33198949694633484, 'train/weight_min': 0.4382496774196625, 'train/weight_max': 1.6459676027297974, 'train/victim_pct': 31.25, 'train/lucky_pct': 12.5, 'train/agreement_pct': 56.25, 'epoch': 0.06874139355549436}
{'train/listnet_loss': 0.29151445627212524, 'train/mse_loss': 0.0038168260361999273, 'train/n_groups': 2, 'train/total_loss': 0.14766563475131989, 'train/weight_mean': 1.0313124656677246, 'train/weight_std': 0.2783493101596832, 'train/weight_min': 0.35499998927116394, 'train/weight_max': 1.399999976158142, 'train/victim_pct': 25.0, 'train/lucky_pct': 12.5, 'train/agreement_pct': 62.5, 'epoch': 0.07149545579730102}
{'train/listnet_loss': 0.23713624477386475, 'train/mse_loss': 0.005394035950303078, 'train/n_groups': 2, 'train/total_loss': 0.12126514315605164, 'train/weight_mean': 0.9132499098777771, 'train/weight_std': 0.3701126277446747, 'train/weight_min': 0.25, 'train/weight_max': 1.4559415578842163, 'train/victim_pct': 25.0, 'train/lucky_pct': 37.5, 'train/agreement_pct': 37.5, 'epoch': 0.07424951803910769}
{'train/listnet_loss': 0.3398951590061188, 'train/mse_loss': 0.006378772668540478, 'train/n_groups': 2, 'train/total_loss': 0.17313696444034576, 'train/weight_mean': 1.278982162475586, 'train/weight_std': 0.4564811885356903, 'train/weight_min': 0.550000011920929, 'train/weight_max': 1.9406871795654297, 'train/victim_pct': 56.25, 'train/lucky_pct': 18.75, 'train/agreement_pct': 25.0, 'epoch': 0.07700358028091435}
{'train/listnet_loss': 0.26872748136520386, 'train/mse_loss': 0.004827653057873249, 'train/n_groups': 2, 'train/total_loss': 0.13677756488323212, 'train/weight_mean': 1.046579122543335, 'train/weight_std': 0.2937853932380676, 'train/weight_min': 0.550000011920929, 'train/weight_max': 1.5008022785186768, 'train/victim_pct': 31.25, 'train/lucky_pct': 18.75, 'train/agreement_pct': 50.0, 'epoch': 0.07975764252272101}
{'train/listnet_loss': 0.4558277130126953, 'train/mse_loss': 0.005207391455769539, 'train/n_groups': 3, 'train/total_loss': 0.23051755130290985, 'train/weight_mean': 1.3247344493865967, 'train/weight_std': 0.3526308238506317, 'train/weight_min': 0.699999988079071, 'train/weight_max': 2.1247963905334473, 'train/victim_pct': 62.5, 'train/lucky_pct': 6.25, 'train/agreement_pct': 31.25, 'epoch': 0.08251170476452768}
